Regiao;Domicílios_particulares_ocupados;Pessoas_residentes;Moradores_domicílio;Bairro_loteamento
Sul;1.016;3.863;3,8;Conj. Hab. Elmano F. Veloso
Sul;3.902;14.050;3,6;"Jardim Colonial; Jardim Imperial; Pinheirinho"
Sul;1.326;4.510;3,4;"Capitingal-Bairro; Jardim República; Jardim Nova República; Vila das Flôres; Jd Santa Edwiges; Jd. Dos Bandeirantes"
Sul;898;3.127;3,5;Jardim Cruzeiro do Sul
Sul;8.254;27.210;3,3;Bosque dos Eucaliptos
Sul;97;329;3,4;Quinta das Flores
Sul;448;1.522;3,4;"Jardim Estoril; Jardim Madureira"
Sul;1.088;3.791;3,5;"Jardim Del Rey; Jardim Portugal"
Sul;1.092;3.125;2,9;Conjj. Res. Primavera
Sul;6.746;21.089;3,1;"Jardim Satélite; Residencial Jardins"
Sul;2.076;5.233;2,5;Floradas de São José
Sul;475;1.578;3,3;Conj. Res. Cidade Jardim
Sul;221;701;3,2;Jardim Anhembi
Sul;1.519;4.497;3;Jardim América, Res. San Marino
Sul;1.236;3.554;2,9;Jardim Paraíso
Sul;464;1.521;3,3;Jardim Oriental
Sul;437;1.535;3,5;"Jardim do Céu; Jardim Rosário"
Sul;1.323;4.377;3,3;"Jardim Oriente; Conj. Res. Sol Nascente; Jd Terras do Sul"
Sul;2.949;9.677;3,3;"Jardim Sul; Bosque dos Ipês; Residencial Gazzo"
Sul;6.320;21.822;3,5;"Cidade Morumbi; Conj. Res. Morumbi"
Sul;2.415;8.608;3,6;"Parque Residencial União; Jardim Juliana"
Sul;7.417;23.369;3,2;"Parque Industrial; Conj.Res.Morada do Sol; Conj.Res.Recanto Eucaliptos; Conj.Res.31 de Março; Jd. das Azaléias; Jd. Petrópolis; Jd. Veneza; Pq. Independência; Conj.Res.Recanto Pinheiros; Res. De Ville"
Sul;1.210;3.563;2,9;Palmeiras de São José
Sul;1.302;4.321;3,3;Jardim Vale do Sol
Sul;608;2.068;3,4;Chácaras Reunidas, R.Januaria(091)
Sul;659;2.386;3,6;Rio Comprido(086)
Sul;1.150;3.908;3,4;"Vila Nova Conceição; Jardim Aeroporto; Vila das Acácias; Vila Letônia; Vila Nair"
Sul;662;2.378;3,6;"Vila São Bento; Vila Luchetti; Xingu(Luchetti)"
Sul;14;42;3;Projeto Torrão de Ouro
Sudeste;944;3.337;3,5;"Vila São Benedito; Jardim Souto; Residencial Cambuí"
Sudeste;2.356;8.049;3,4;"Jardim da Granja; Parque Santa Rita; Chácaras São José"
Sudeste;615;2.167;3,5;Jardim Uirá
Sudeste;1.217;4.244;3,5;"Jardim Colorado; Parque Martim Cererê; Residencial Flamboyant; Res. Bell Park; Sítio Bom Jesus(092)"
Sudeste;651;2.356;3,6;"Residencial São Francisco; Altos do Uirá(090)"
Sudeste;854;3.177;3,7;"Jardim Santa Luzia; Recanto dos Eucaliptos(087); Jd. Santa Rosa; Jd. Santa Julia; Res. Santa Rosa"
Sudeste;92;294;3,2;"Putim-Bairro (parte); Parque Santos Dumont"
Sudeste;448;1.681;3,8;"Jardim do Lago; Putim-Bairro (parte)"
Sudeste;455;1.653;3,6;Jardim São Leopoldo
Sudeste;1.408;5.187;3,7;"Jardim Santa Fé; Jardim Santo Onofre; Vila Iracema; Vila Rica"
Sudeste;1.401;5.275;3,8;"Jardim São Judas Tadeu; Conjunto São Judas Tadeu"
Sudeste;454;1.684;3,7;Conj. Hab. Polícia Militar
Sudeste;767;2.713;3,5;"Residencial Jatobá; Residencial Juritis; Vila Adriana I e II"
Sudeste;176;712;4;"Pernambucana de Cima-Bairro (parte); Conj.Res.Nosso Teto; Recanto das Jabuticabeiras (072)"
Sudeste;138;762;5,5;"Pernambucana de Cima-Bairro (parte); Recanto dos Nobres-Ch. (093)"
Sudeste;704;2.509;3,6;C.T.A.
Norte;221;740;3,3;Buquirinha-Bairro(parte)
Norte;1.098;3.762;3,4;Vila Paiva, Jardim Boa Vista, Vl.Paiva-remanescente(069)
Norte;384;1.287;3,4;Jardim Santa Matilde, Vila Cândida
Norte;1.018;3.660;3,6;Vila São Geraldo, Recanto Caetê, Caete-Bairro (parte), Altos da Vila Paiva, Conj. Hab. São Geraldo
Norte;1.036;3.434;3,3;Alto da Ponte-Bairro, Jardim Maritéia, Vila Leonídia, Vila N.Sra.das Graças, Vila Veneziani, São Sebastião
Norte;1.440;4.767;3,3;Vila Santarém, Vila Sinhá, Jardim Guimarães, Vila Leila, Vila Monte Alegre, Vila Leila II(088)
Norte;1.085;3.833;3,5;Vila Unidos, Caete-Bairro (parte), Oliveiras-Ch.(045), Miranda-Ch.(049), Guimarães-Remanescente(059), Minas Gerais
Norte;306;1.113;3,6;Vila Dirce
Norte;4.354;15.725;3,6;Jardim Altos de Santana, Jardim Telespark
Norte;79;299;3,8;Jaguariuna-Bairro(parte)
Norte;246;846;3,4;Vila Machado
Norte;1.218;3.936;3,2;Vila Alexandrina (parte), Vila do Carmo, Vila Dona, Vila Esmeralda, Vila Simone, Vila do Pena(073)
Norte;447;1.413;3,2;Santana-Bairro, Jardim Anchieta, Jardim Nova Paulicéia
Norte;1.168;3.759;3,2;Vila Cristina, Conj.Res. Nova Cristina, Jardim Jaci, Vila Rangel, Vila Chiquinha, Jardim Ouro Preto
Norte;248;689;2,8;Vila Pasto Alto
Norte;602;1.835;3;Vila Alexandrina (parte), Vila César
Norte;1.503;4.435;3;Vila Rossi, Vila Zizinha
Norte;120;474;4;Fav.Vila Rhodia
Norte;64;214;3,3;Banhado(parte)
Norte;920;3.297;3,6;Vargem Grande-Bairro(parte), Águas do Canindu-Ch.(037), Hawai-Ch.(048), Espelho D'Água, Colinas do Parahyba
Norte;85;282;3,3;Vargem Grande-Bairro(parte), Fazenda Jataí, Rhodia-Vl.(063)
SFX;437;1.342;3,1;São Francisco Xavier, Bairro dos Ferreiras
