Regiao;Bairro
Sul;Jardim Oriental
Sul;Jardim do Céu
Sul;Jardim Rosário
Sul;Jardim Oriente
Sul;Conj. Res. Sol Nascente
Sul;Jd Terras do Sul
Sul;Jardim Sul
Sul;Bosque dos Ipês
Sul;Residencial Gazzo
Sul;Cidade Morumbi
Sul;Conj. Res. Morumbi
Sul;Parque Residencial União
Sul;Jardim Juliana
Sul;Parque Industrial
Sul;Conj.Res.Morada do Sol
Sul;Conj.Res.Recanto Eucaliptos
Sul;Conj.Res.31 de Março
Sul;Jd. das Azaléias
Sul;Jd. Petrópolis
Sul;Jd. Veneza
Sul;Pq. Independência
Sul;Conj.Res.Recanto Pinheiros
Sul;Res. De Ville
Sul;Palmeiras de São José
Sul;Jardim Vale do Sol
Sul;Chácaras Reunidas
Sul;Rio Comprido(086)
Sul;Vila Nova Conceição
Sul;Jardim Aeroporto
Sul;Vila das Acácias
Sul;Vila Letônia
Sul;Vila Nair
Sul;Vila São Bento
Sul;Vila Luchetti
Sul;Xingu(Luchetti)
Sul;Projeto Torrão de Ouro
Sul;Res. San Marino
Sul;R.Januaria(091)
Sudeste;Vila São Benedito
Sudeste;Jardim Souto
Sudeste;Residencial Cambuí
Sudeste;Jardim da Granja
Sudeste;Parque Santa Rita
Sudeste;Chácaras São José
Sudeste;Jardim Uirá
Sudeste;Jardim Colorado
Sudeste;Parque Martim Cererê
Sudeste;Residencial Flamboyant
Sudeste;Res. Bell Park
Sudeste;Sítio Bom Jesus(092)
Sudeste;Residencial São Francisco
Sudeste;Altos do Uirá(090)
Sudeste;Jardim Santa Luzia
Sudeste;Recanto dos Eucaliptos(087)
Sudeste;Jd. Santa Rosa
Sudeste;Jd. Santa Julia
Sudeste;Res. Santa Rosa
Sudeste;Putim-Bairro (parte)
Sudeste;Parque Santos Dumont
Sudeste;Jardim do Lago
Sudeste;Putim-Bairro (parte)
Sudeste;Jardim São Leopoldo
Sudeste;Jardim Santa Fé
Sudeste;Jardim Santo Onofre
Sudeste;Vila Iracema
Sudeste;Vila Rica
Sudeste;Jardim São Judas Tadeu
Sudeste;Conjunto São Judas Tadeu
Sudeste;Conj. Hab. Polícia Militar
Sudeste;Residencial Jatobá
Sudeste;Residencial Juritis
Sudeste;Vila Adriana I e II
Sudeste;Pernambucana de Cima-Bairro (parte)
Sudeste;Conj.Res.Nosso Teto
Sudeste;Recanto das Jabuticabeiras (072)
Sudeste;Pernambucana de Cima-Bairro (parte)
Sudeste;Recanto dos Nobres-Ch. (093)
Sudeste;C.T.A.
SFX;São Francisco Xavier
SFX;Bairro dos Ferreiras
