,Nome_dependencia_Administrativa,Diretoria_de_ensino,Nome_Escola,Codigo_Municipio,Municipio,Bairro,Distrito,CEP,Complemento,Endereco,Numero,Ddd,Fone1,Fone2,Email
10,MUNICIPAL,SAO JOSE DOS CAMPOS,ARMILINDA LOCATELLI DE MACEDO IMI,645,SAO JOSE DOS CAMPOS,VILA TESOURO,SAO JOSE DOS CAMPOS,12221560,RUA,VITORIO CARNEVALLI ,176,12.0,39295149.0,,IMIARMILINDALOCATELLI@SJC.SP.GOV.BR
11,MUNICIPAL,SAO JOSE DOS CAMPOS,ARTUR APARECIDO DA ROSA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM SAO JUDAS TADEU,SAO JOSE DOS CAMPOS,12228370,AVENIDA,VICENTE DE PAULO SAO,SN,12.0,39441765.0,,PLANEJAMENTOESCOLAR@SJC.SP.GOV.BR
12,MUNICIPAL,SAO JOSE DOS CAMPOS,AUREA CANTINHO RODRIGUES PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM OSWALDO CRUZ,SAO JOSE DOS CAMPOS,12216600,RUA,IRAN ,135,12.0,39218765.0,39428011.0,EMEFAUREACANTINHO@SJC.SP.GOV.BR
13,MUNICIPAL,SAO JOSE DOS CAMPOS,BAIRRO DOS FREITAS NEI DO,645,SAO JOSE DOS CAMPOS,FREITAS,SAO JOSE DOS CAMPOS,12214422,ESTRADA MUNICIPAL,JOSE BENEDITO DE OLIVEIRA ,1938,12.0,39482834.0,,NEIBAIRRODOSFREITAS@SJC.SP.GOV.BR
14,MUNICIPAL,SAO JOSE DOS CAMPOS,BAIRRO SAO BENEDITO EMEF,466,MONTEIRO LOBATO,SAO BENEDITO,MONTEIRO LOBATO,12250000,PRACA,RODVIA SP KM 50,SN,12.0,39791345.0,,ESCOLAFUNDAMENTAL@MONTEIROLOBATO.SP.GOV.BR
15,MUNICIPAL,SAO JOSE DOS CAMPOS,BENEDITO CARVALHO DOS SANTOS IMI,645,SAO JOSE DOS CAMPOS,VILA MARIA,SAO JOSE DOS CAMPOS,12209510,AVENIDA,TEOTONIO VILELA SENADOR,900,12.0,39215666.0,39225253.0,IMIBENEDITOCARVALHO@SJC.SP.GOV.BR
16,MUNICIPAL,SAO JOSE DOS CAMPOS,CASSIANO RICARDO EMEI,645,SAO JOSE DOS CAMPOS,VILA ADYANA,SAO JOSE DOS CAMPOS,12243750,RUA,PRUDENTE MEIRELES DE MORAIS ENGENHEIRO,1000,12.0,39211117.0,,EMEICASSIANORICARDO@SJC.SP.GOV.BR
17,MUNICIPAL,SAO JOSE DOS CAMPOS,CLEANIR SANTOS MALDONADO CAMPOY PROFA NEI,645,SAO JOSE DOS CAMPOS,JARDIM AEROPORTO,SAO JOSE DOS CAMPOS,12231140,RUA,NORUEGA ,726,12.0,39229394.0,,NEICLEANIRSANTOS@SJC.SP.GOV.BR
18,MUNICIPAL,SAO JOSE DOS CAMPOS,CREMILDA ALVES DE OLIVEIRA AZEVEDO PROFA NEI,645,SAO JOSE DOS CAMPOS,VILA NOVA CRISTINA,SAO JOSE DOS CAMPOS,12211135,RUA,DURVALINA ISAURA CONCEICAO DOS SANTOS ,242,12.0,39423139.0,,EMEICREMILDAALVES@SJC.SP.GOV.BR
19,MUNICIPAL,SAO JOSE DOS CAMPOS,DIMEIA MARIA FERREIRA DINIZ ENDO PROFA INST MATERNO INFANTIL,645,SAO JOSE DOS CAMPOS,CAMPO DOS ALEMAES,SAO JOSE DOS CAMPOS,12239170,RUA,NELSON JOSE DE CARVALHO FERREIRA ,91,12.0,39661605.0,,IMIDIMEIAMARIA@SJC.SP.GOV.BR
20,MUNICIPAL,SAO JOSE DOS CAMPOS,DOMINGOS DE MACEDO CUSTODIO PROF EMEI,645,SAO JOSE DOS CAMPOS,VILA TESOURO,SAO JOSE DOS CAMPOS,12221470,RUA,JOSE DE MOURA RESENDE DOUTOR,372,12.0,39292325.0,,EMEIDOMINGOSDEMACEDO@SJC.SP.GOV.BR
21,MUNICIPAL,SAO JOSE DOS CAMPOS,DOROTI DA SILVA CUNHA NEI,645,SAO JOSE DOS CAMPOS,JARDIM SANTA INES I,SAO JOSE DOS CAMPOS,12248490,RUA,ABELARDO ALVES DE PAIVA ,300,12.0,39291928.0,,NEIDOROTIDASILVA@SJC.SP.GOV.BR
22,MUNICIPAL,SAO JOSE DOS CAMPOS,DOSULINA CHENQUE CHAVES DE ANDRADE PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM ALTOS DE SANTANA,SAO JOSE DOS CAMPOS,12214000,AVENIDA,PICO DAS AGULHAS NEGRAS ,1594,12.0,39216448.0,,EMEFDOSULINA@SJC.SP.GOV.BR
23,MUNICIPAL,SAO JOSE DOS CAMPOS,EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO PROFA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM PARAISO DO SOL,SAO JOSE DOS CAMPOS,12225250,RUA,RUA LUIS ANTONIO RIBEIRO DE MACEDO,330,12.0,39071481.0,39072133.0,EMEIEDERAIRENE@SJC.SP.GOV.BR
24,MUNICIPAL,SAO JOSE DOS CAMPOS,ELIZABETE DE PAULA HONORATO PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM MARIANA I,SAO JOSE DOS CAMPOS,12226854,RUA,AURELIO PORTILHO CASTELLANOS ,124,12.0,39129467.0,,EMEFELIZABETEPAULA@SJC.SP.GOV.BR
25,MUNICIPAL,SAO JOSE DOS CAMPOS,ELIZABETH COELHO MICHELLETO EMEF,466,MONTEIRO LOBATO,CENTRO,MONTEIRO LOBATO,12250000,PRACA,RUA HUMBERTO CAPELLI,221,12.0,39791345.0,,ESCOLAFUNDAMENTALO@MONTEIROLOBATO.SP.GOV.BR
26,MUNICIPAL,SAO JOSE DOS CAMPOS,ELZA FERREIRA RAHAL PROFA NEI,645,SAO JOSE DOS CAMPOS,VILA MARIA,SAO JOSE DOS CAMPOS,12209250,RUA,PARANA ,111,12.0,39091074.0,,EMEIELZAFERREIRA@SJC.SP.GOV.BR
27,MUNICIPAL,SAO JOSE DOS CAMPOS,ELZA MARIA DIAS MENDONCA PROFA NEI,645,SAO JOSE DOS CAMPOS,MONTE CASTELO,SAO JOSE DOS CAMPOS,12215170,PRACA,FRANCISCO ESCOBAR ,103,12.0,39235216.0,,NEIELZAMARIA@SJC.SP.GOV.BR
28,MUNICIPAL,SAO JOSE DOS CAMPOS,ELZA REGINA FERREIRA BEVILACQUA PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM ESTORIL,SAO JOSE DOS CAMPOS,12232040,RUA,BRENO DE MOURA ,SN,12.0,39166420.0,39167020.0,EMEFELZAREGINA@SJC.SP.GOV.BR
29,MUNICIPAL,SAO JOSE DOS CAMPOS,EMEF EMMANUEL ANTONIO DOS SANTOS,645,SAO JOSE DOS CAMPOS,RESIDENCIAL FREI GALVAO,SAO JOSE DOS CAMPOS,12248701,RUA,RUA DAS CEREJAS,150,12.0,39298970.0,,EMEFEMMANUELANTONIO@SJC.SP.GOV.BR
30,MUNICIPAL,SAO JOSE DOS CAMPOS,EMEF PROFESSORA MERCEDES MARIA PEROTTI ,645,SAO JOSE DOS CAMPOS,RIO COMPRIDO,SAO JOSE DOS CAMPOS,12238000,AVENIDA,RUA SAO FRANCISCO ,181,12.0,39311428.0,,EMEFRIOCOMPRIDO@SJC.SP.GOV.BR
31,MUNICIPAL,SAO JOSE DOS CAMPOS,EMILIA NUCLEO DE EDUCACAO INFANTIL ,466,MONTEIRO LOBATO,CENTRO,MONTEIRO LOBATO,12250000,BAIRRO SOUZAS,AVENIDA SANTA RITA E CASSIA,SN,12.0,39791268.0,39794145.0,ESCOLAINFANTIL@MONTEIROLOBATO.SP.GOV.BR
32,MUNICIPAL,SAO JOSE DOS CAMPOS,EUGENIO DE MELO NEI,645,SAO JOSE DOS CAMPOS,EUGENIO DE MELLO,EUGENIO DE MELO,12247160,RUA,ELOY PORTO ,120,12.0,39052153.0,,NEIEUGENIOMELO@SJC.SP.GOV.BR
33,MUNICIPAL,SAO JOSE DOS CAMPOS,FEBRONIO PEREIRA GOMES EMEI,645,SAO JOSE DOS CAMPOS,PARQUE NOVO HORIZONTE,SAO JOSE DOS CAMPOS,12225700,RUA,CARTEIROS ,50,12.0,39071439.0,,EMEIFEBRONIOPEREIRA@SJC.SP.GOV.BR
34,MUNICIPAL,SAO JOSE DOS CAMPOS,FERNANDO TAO DE AZEVEDO INSTITUTO MATERNO INFANTIL,645,SAO JOSE DOS CAMPOS,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230130,RUA,BAMBUI ,25,12.0,39318990.0,,IMIFERNANDOTAO@SJC.SP.GOV.BR
35,MUNICIPAL,SAO JOSE DOS CAMPOS,FLAVIO BERLING MACEDO PROF EMEF,645,SAO JOSE DOS CAMPOS,VL MARIA,SAO JOSE DOS CAMPOS,12209250,RUA,R PARANA,111,12.0,39091070.0,,EMEFFLAVIOBERLING@SJC.SP.GOV.BR
36,MUNICIPAL,SAO JOSE DOS CAMPOS,FLAVIO LENZI IMI,645,SAO JOSE DOS CAMPOS,VILA TATETUBA,SAO JOSE DOS CAMPOS,12220220,PRACA,GAIVOTAS ,535,12.0,39123027.0,,IMIFLAVIOLENZI@SJC.SP.GOV.BR
37,MUNICIPAL,SAO JOSE DOS CAMPOS,GERALDO DE ALMEIDA PROF EMEF,645,SAO JOSE DOS CAMPOS,CHACARAS POUSADA DO VALE,SAO JOSE DOS CAMPOS,12226763,RUA,RUA CAMOMILA,100,12.0,39292545.0,39294566.0,EMEFGERALDOALMEIDA@SJC.SP.GOV.BR
38,MUNICIPAL,SAO JOSE DOS CAMPOS,HELENA FERREIRA PROFESSORA IMI,645,SAO JOSE DOS CAMPOS,MONTE CASTELO,SAO JOSE DOS CAMPOS,12215580,RUA,WALDIR GAIOSO ,SN,,,,IMIHELENAFERREIRA@SJC.SP.GOV.BR
39,MUNICIPAL,SAO JOSE DOS CAMPOS,HELENA VAZ DE LIMA SOLIVA PROFA INSTITUTO MATERNO INFANTIL,645,SAO JOSE DOS CAMPOS,JARDIM SAO DIMAS,SAO JOSE DOS CAMPOS,12245000,AVENIDA,FRANCISCO JOSE LONGO ENGENHEIRO,526,12.0,39128383.0,,IMIHELENASOLIVA@SJC.SP.GOV.BR
40,MUNICIPAL,SAO JOSE DOS CAMPOS,HELIO AUGUSTO DE SOUZA CENTRO EDUC PROFISSSIONAL CEPHAS,645,SAO JOSE DOS CAMPOS,FLORADAS DE SAO JOSE,SAO JOSE DOS CAMPOS,12230084,RUA,RUA TSUNESSABURO MAKIGUTI,399,12.0,39335022.0,39341135.0,DIRCEPHAS@FUNDHAS.ORG.BR
41,MUNICIPAL,SAO JOSE DOS CAMPOS,HELIO AUGUSTO DE SOUZA PROF EMEF,645,SAO JOSE DOS CAMPOS,JARDIM VALPARAIBA,SAO JOSE DOS CAMPOS,12221371,PRACA,PRACA DOS MUSICOS,SN,12.0,39295996.0,,EMEFHELIOAUGUSTO@SJC.SP.GOV.BR
42,MUNICIPAL,SAO JOSE DOS CAMPOS,HELIO WALTER BEVILACQUA PROFESSOR EMEF,645,SAO JOSE DOS CAMPOS,JARDIM REPUBLICA,SAO JOSE DOS CAMPOS,12234831,RUA,RUA OSCAR FERREIRA DA SILVA,155,12.0,39392310.0,,EMEFHELIOBEVILACQUA@SJC.SP.BR
43,MUNICIPAL,SAO JOSE DOS CAMPOS,HOMERA DA SILVA BRAGA PROFA EMEF,645,SAO JOSE DOS CAMPOS,CIDADE MORUMBI,SAO JOSE DOS CAMPOS,12236450,RUA,JOAQUIM DE PAULA ,670,12.0,39379166.0,39379329.0,EMEFHOMERA@SJC.SP.GOV.BR
44,MUNICIPAL,SAO JOSE DOS CAMPOS,IDELENA MENEZES TREFILIO DE CARVALHO PROFA EMEI,645,SAO JOSE DOS CAMPOS,SANTANA,SAO JOSE DOS CAMPOS,12211115,AVENIDA,OLIVO GOMES ,590,12.0,39215770.0,,EMEIIDELENAMENEZES@SJC.SP.GOV.BR
45,MUNICIPAL,SAO JOSE DOS CAMPOS,ILDETE MENDONCA BARBOSA PROFA EMEF,645,SAO JOSE DOS CAMPOS,RESIDENCIAL UNIAO,SAO JOSE DOS CAMPOS,12239024,RUA,MIGUEL JANSEN FILHO DOUTOR,80,12.0,39661026.0,39661688.0,EMEFILDETEMENDONCA@SJC.SP.GOV.BR
46,MUNICIPAL,SAO JOSE DOS CAMPOS,ILGA PUSPLATAIS PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM ISMENIA,SAO JOSE DOS CAMPOS,12220690,RUA,UBERLANDIA ,465,12.0,39023695.0,,EMEFILGA@SJC.SP.GOV.BR
47,MUNICIPAL,SAO JOSE DOS CAMPOS,ILZA NASCIMENTO PINTUS PROFESSORA NEI,645,SAO JOSE DOS CAMPOS,CHACARAS REUNIDAS,SAO JOSE DOS CAMPOS,12238360,RUA,MIRACEMA ,SN,12.0,39343836.0,,NEICHACARASREUNIDAS@SJC.SP.GOV.BR
48,MUNICIPAL,SAO JOSE DOS CAMPOS,INST MATERNAL INF PROFA ELIANA DE OLIVEIRA SANTOS CRUZ,645,SAO JOSE DOS CAMPOS,RESIDENCIAL ARMANDO MOREIRA RIGHI,SAO JOSE DOS CAMPOS,12247806,RUA,CELSO NEGRAO ,150,12.0,39123793.0,,PLANEJAMENTOESCOLAR@SJC.SP.GOV.BR
49,MUNICIPAL,SAO JOSE DOS CAMPOS,IRACEMA OLIVEIRA DE MELLO EMEI,645,SAO JOSE DOS CAMPOS,JARDIM SANTO ONOFRE,SAO JOSE DOS CAMPOS,12228077,RUA,ROBERTO APARECIDO CRUZ ,60,12.0,39442328.0,,EMEIIRACEMAOLIVEIRA@SJC.SP.GOV.BR
50,MUNICIPAL,SAO JOSE DOS CAMPOS,JACYRA VIEIRA BARACHO PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM VENEZA,SAO JOSE DOS CAMPOS,12237060,RUA,FLORENCA ,100,12.0,39330650.0,39345407.0,EMEFJACYRABARACHO@SJC.SP.GOV.BR
51,MUNICIPAL,SAO JOSE DOS CAMPOS,JANE PALUMBO PROFA EMEI,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL DOM PEDRO I,SAO JOSE DOS CAMPOS,12232610,RUA,RUA EDILSON SABINO DOS SANTOS,SN,12.0,39668339.0,,EMEIJANEPALUMBO@SJC.SP.GOV.BR
52,MUNICIPAL,SAO JOSE DOS CAMPOS,JARDIM MORUMBI NUCLEO DE EDUCACAO INFANTIL,645,SAO JOSE DOS CAMPOS,CIDADE MORUMBI,SAO JOSE DOS CAMPOS,12236740,AVENIDA,ELISIO GALDINO SOBRINHO ,40,12.0,39310002.0,,EMEIJARDIMMORUMBI@SJC.SP.GOV.BR
53,MUNICIPAL,SAO JOSE DOS CAMPOS,JESUS DE NAZARE IMI,645,SAO JOSE DOS CAMPOS,VILA SAO BENTO,SAO JOSE DOS CAMPOS,12231580,RUA,APA ,100,12.0,39222319.0,,IMIJESUSDENAZARE@SJC.SP.GOV.BR
54,MUNICIPAL,SAO JOSE DOS CAMPOS,JOANA MATTAR DE OLIVEIRA IMI,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,SAO JOSE DOS CAMPOS,12237000,RUA,JOSE COBRA ,95,12.0,39319818.0,,IMIJOANAMATTAR@SJC.SP.GOV.BR
55,MUNICIPAL,SAO JOSE DOS CAMPOS,JOAO LOPES SIMOES IMI,645,SAO JOSE DOS CAMPOS,JARDIM ORIENTE,SAO JOSE DOS CAMPOS,12236190,PRACA,ALEXANDRE MAGNO ,166,12.0,39310194.0,,IMIJOAOLOPES@SJC.SP.GOV.BR
56,MUNICIPAL,SAO JOSE DOS CAMPOS,JOAO MARCONDES GUIMARAES PADRE EMEI,645,SAO JOSE DOS CAMPOS,BOSQUE DOS EUCALIPTOS,SAO JOSE DOS CAMPOS,12233420,RUA,TATUI ,27,12.0,39165257.0,,EMEIPADREJOAO@SJC.SP.GOV.BR
57,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE ANTERO CURSINO DOS SANTOS PROF NEI,645,SAO JOSE DOS CAMPOS,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230810,RUA,ITAPOA ,101,12.0,39313718.0,,EMEIJOSEANTERO@SJC.SP.GOV.BR
58,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE MADUREIRA LEBRAO EMEI,645,SAO JOSE DOS CAMPOS,JARDIM MARIANA II,SAO JOSE DOS CAMPOS,12226880,RUA,MAURICIO MALDONADO JUNIOR ,94,12.0,39129608.0,39292322.0,EMEIJOSEMADUREIRA@SJC.SP.GOV.BR
59,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE PAULINO BICUDO NEI,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL VALE DOS PINHEIROS,SAO JOSE DOS CAMPOS,12242370,RUA,JAVAES ,SN,12.0,39415895.0,,NEIJOSEPAULINOBICUDO@SJC.SP.GOV.BR
60,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE PURCINI EMEI,645,SAO JOSE DOS CAMPOS,JARDIM SANTA INES II,SAO JOSE DOS CAMPOS,12248515,RUA,CIRURGIOES DENTISTAS ,480,12.0,39125780.0,39297402.0,EMEIJOSEPURCINI@SJC.SP.GOV.BR
61,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE RUBENS FRANCO BONAFE PADRE EMEI,645,SAO JOSE DOS CAMPOS,JARDIM SANTA MATILDE,SAO JOSE DOS CAMPOS,12213580,RUA,SALETE NOSSA SENHORA,34,12.0,39219987.0,,EMEIPADREBONAFE@SJC.SP.GOV.BR
62,MUNICIPAL,SAO JOSE DOS CAMPOS,JOSE SODERO BITENCOURT PROF EMEI,645,SAO JOSE DOS CAMPOS,RESIDENCIAL BOSQUE DOS IPES,SAO JOSE DOS CAMPOS,12236874,RUA,JOSE ANTONIO MONTEIRO SANTOS ,15,12.0,39394096.0,,EMEIJOSESODERO@SJC.SP.GOV.BR
63,MUNICIPAL,SAO JOSE DOS CAMPOS,LADIEL BENEDITO DE CARVALHO PROF EMEI,645,SAO JOSE DOS CAMPOS,PARQUE INTERLAGOS,SAO JOSE DOS CAMPOS,12229829,RUA,RUA ANA BENEDICTA DIAS PEDROSA,75,12.0,39441828.0,,EMEILADIELBENEDITO@SJC.SP.GOV.BR
64,MUNICIPAL,SAO JOSE DOS CAMPOS,LEONOR PEREIRA NUNES GALVAO PROFA EMEF,645,SAO JOSE DOS CAMPOS,VILA INDUSTRIAL,SAO JOSE DOS CAMPOS,12220300,RUA,JOSE MOLINA ,150,12.0,39121750.0,39291714.0,EMEFLEONORGALVAO@SJC.SP.GOV.BR
65,MUNICIPAL,SAO JOSE DOS CAMPOS,LOURDES DE OLIVEIRA MENDES PROFA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM PARARANGABA,SAO JOSE DOS CAMPOS,12224720,RUA,RIO UNA ,488,12.0,39028879.0,,EMEILOURDESDEOLIVEIRA@SJC.SP.GOV.BR
66,MUNICIPAL,SAO JOSE DOS CAMPOS,LUCIA MARIA DO AMARAL PROFESSORA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM SANTA LUZIA,SAO JOSE DOS CAMPOS,12228858,RUA,JOSE BENEDITO DE ALMEIDA PENA ,140,12.0,39129819.0,,AA.PUPIO@UOL.COM.BR
67,MUNICIPAL,SAO JOSE DOS CAMPOS,LUCIA PEREIRA RODRIGUES PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM SANTA FE,SAO JOSE DOS CAMPOS,12228110,RUA,PRACA IV CENTENARIO,401,12.0,39441769.0,39441850.0,EMEFLUCIAPEREIRA@SJC.SP.GOV.BR
68,MUNICIPAL,SAO JOSE DOS CAMPOS,LUIZ LEITE PROF EMEF,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL GALO BRANCO,SAO JOSE DOS CAMPOS,12247540,RUA,BENEDITO ANDRADE ,5,12.0,39051139.0,39052510.0,EMEFLUIZLEITE@SJC.SP.GOV.BR
69,MUNICIPAL,SAO JOSE DOS CAMPOS,LUIZ SUNDFELD PROF EMEI,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL GALO BRANCO,SAO JOSE DOS CAMPOS,12247530,RUA,FELICIO JABBUR NASSER ,1035,12.0,39052263.0,,EMEILUIZSUNDFELD@SJC.SP.GOV.BR
70,MUNICIPAL,SAO JOSE DOS CAMPOS,LUZIA LEVINA APARECIDA BORGES PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM CRUZEIRO DO SUL,SAO JOSE DOS CAMPOS,12234813,RUA,HONORATO GONCALVES TEIXEIRA ,205,12.0,39661187.0,39661569.0,EMEFLUZIALEVINA@SJC.SP.GOV.BR
71,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA ALICE PASQUARELLI PROFA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM COPACABANA,SAO JOSE DOS CAMPOS,12221221,PRACA,PRACA JOAQUIM FIGUEIRA DE ANDRADE,60,12.0,39291854.0,,EMEIMARIAALICE@SJC.SP.GOV.BR
72,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA AMELIA WAKAMATSU PROFA EMEF,645,SAO JOSE DOS CAMPOS,CAMPOS DE SAO JOSE,SAO JOSE DOS CAMPOS,12226690,RUA,VIRGILIO FERNANDES DE OLIVEIRA ,31,12.0,39124775.0,39297535.0,EMEFMARIAAMELIA@SJC.SP.GOV.BR
73,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA ANTONIETA FERREIRA PAYAR PROFA EMEF,645,SAO JOSE DOS CAMPOS,PINHERINHO DOS PALMARES,SAO JOSE DOS CAMPOS,12228256,CONJUNTO HABITACIONAL,TRÊS,S/N,12.0,39122739.0,,GLAUCIA.ARAUJO@SJC.SP.GOV.BR
74,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA APARECIDA SANTOS RONCONI PROFA EMEF,645,SAO JOSE DOS CAMPOS,MONTE CASTELO,SAO JOSE DOS CAMPOS,12215390,RUA,ANA GONCALVES DA CUNHA ,400,12.0,39114549.0,,EMEFMARIARONCONI@SJC.SP.GOV.BR
75,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA AUGUSTA MOREIRA DA COSTA PROFA EMEF,645,SAO JOSE DOS CAMPOS,JARDIM UIRA,SAO JOSE DOS CAMPOS,12227621,RUA,RUA DOS CANINDES,SN,12.0,39118948.0,,EMEFMARIAAUGUSTA@SJC.SP.GOV.BR
76,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA DA GLORIA MARIANO SANTOS PROFA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM TELESPARK,SAO JOSE DOS CAMPOS,12212810,PRACA,CESAR TRABALLI ,80,12.0,39226002.0,,EMEIMARIADAGLORIA@SJC.SP.GOV.BR
77,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA DE LOURDES CONSTANTINO PROFA IMI,645,SAO JOSE DOS CAMPOS,PARQUE NOVO HORIZONTE,SAO JOSE DOS CAMPOS,12225710,RUA,ELETRICISTAS ,330,12.0,39072113.0,39075994.0,IMIMARIADELOURDES@SJC.SP.GOV.BR
78,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA DE MELO PROFA EMEF,645,SAO JOSE DOS CAMPOS,PARQUE INDUSTRIAL,SAO JOSE DOS CAMPOS,12235741,RUA,INGA ,40,12.0,39313593.0,39348030.0,EMEFMARIAMELO@SJC.SP.GOV.BR
79,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA EZEQUIEL SANT'ANNA PROFA NEI,645,SAO JOSE DOS CAMPOS,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230320,RUA,CASTOR ,180,12.0,39374618.0,,EMEIMARIAEZEQUIEL@SJC.SP.GOV.BR
80,MUNICIPAL,SAO JOSE DOS CAMPOS,MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI,645,SAO JOSE DOS CAMPOS,JARDIM COLONIAL,SAO JOSE DOS CAMPOS,12234440,PRACA,BERTOLINO CLAUDIO ,56,12.0,39662351.0,,EMEIMARIAJOSEGUIDO@SJC.SP.GOV.BR
