Nome_dependencia_Administrativa;Diretoria_de_ensino;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email
MUNICIPAL;SAO JOSE DOS CAMPOS;CASSIANO RICARDO EMEI;645;SAO JOSE DOS CAMPOS;VILA ADYANA;SAO JOSE DOS CAMPOS;12243750;RUA;PRUDENTE MEIRELES DE MORAIS ENGENHEIRO;1000;12;39211117;;EMEICASSIANORICARDO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;CLEANIR SANTOS MALDONADO CAMPOY PROFA NEI;645;SAO JOSE DOS CAMPOS;JARDIM AEROPORTO;SAO JOSE DOS CAMPOS;12231140;RUA;NORUEGA ;726;12;39229394;;NEICLEANIRSANTOS@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;CREMILDA ALVES DE OLIVEIRA AZEVEDO PROFA NEI;645;SAO JOSE DOS CAMPOS;VILA NOVA CRISTINA;SAO JOSE DOS CAMPOS;12211135;RUA;DURVALINA ISAURA CONCEICAO DOS SANTOS ;242;12;39423139;;EMEICREMILDAALVES@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;DIMEIA MARIA FERREIRA DINIZ ENDO PROFA INST MATERNO INFANTIL;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;SAO JOSE DOS CAMPOS;12239170;RUA;NELSON JOSE DE CARVALHO FERREIRA ;91;12;39661605;;IMIDIMEIAMARIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;DOMINGOS DE MACEDO CUSTODIO PROF EMEI;645;SAO JOSE DOS CAMPOS;VILA TESOURO;SAO JOSE DOS CAMPOS;12221470;RUA;JOSE DE MOURA RESENDE DOUTOR;372;12;39292325;;EMEIDOMINGOSDEMACEDO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;DOROTI DA SILVA CUNHA NEI;645;SAO JOSE DOS CAMPOS;JARDIM SANTA INES I;SAO JOSE DOS CAMPOS;12248490;RUA;ABELARDO ALVES DE PAIVA ;300;12;39291928;;NEIDOROTIDASILVA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;DOSULINA CHENQUE CHAVES DE ANDRADE PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM ALTOS DE SANTANA;SAO JOSE DOS CAMPOS;12214000;AVENIDA;PICO DAS AGULHAS NEGRAS ;1594;12;39216448;;EMEFDOSULINA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO PROFA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM PARAISO DO SOL;SAO JOSE DOS CAMPOS;12225250;RUA;RUA LUIS ANTONIO RIBEIRO DE MACEDO;330;12;39071481;39072133;EMEIEDERAIRENE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ELIZABETE DE PAULA HONORATO PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM MARIANA I;SAO JOSE DOS CAMPOS;12226854;RUA;AURELIO PORTILHO CASTELLANOS ;124;12;39129467;;EMEFELIZABETEPAULA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ELIZABETH COELHO MICHELLETO EMEF;466;MONTEIRO LOBATO;CENTRO;MONTEIRO LOBATO;12250000;PRACA;RUA HUMBERTO CAPELLI;221;12;39791345;;ESCOLAFUNDAMENTALO@MONTEIROLOBATO.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ELZA FERREIRA RAHAL PROFA NEI;645;SAO JOSE DOS CAMPOS;VILA MARIA;SAO JOSE DOS CAMPOS;12209250;RUA;PARANA ;111;12;39091074;;EMEIELZAFERREIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ELZA MARIA DIAS MENDONCA PROFA NEI;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215170;PRACA;FRANCISCO ESCOBAR ;103;12;39235216;;NEIELZAMARIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ELZA REGINA FERREIRA BEVILACQUA PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM ESTORIL;SAO JOSE DOS CAMPOS;12232040;RUA;BRENO DE MOURA ;SN;12;39166420;39167020;EMEFELZAREGINA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;EMEF EMMANUEL ANTONIO DOS SANTOS;645;SAO JOSE DOS CAMPOS;RESIDENCIAL FREI GALVAO;SAO JOSE DOS CAMPOS;12248701;RUA;RUA DAS CEREJAS;150;12;39298970;;EMEFEMMANUELANTONIO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;EMEF PROFESSORA MERCEDES MARIA PEROTTI ;645;SAO JOSE DOS CAMPOS;RIO COMPRIDO;SAO JOSE DOS CAMPOS;12238000;AVENIDA;RUA SAO FRANCISCO ;181;12;39311428;;EMEFRIOCOMPRIDO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;EMILIA NUCLEO DE EDUCACAO INFANTIL ;466;MONTEIRO LOBATO;CENTRO;MONTEIRO LOBATO;12250000;BAIRRO SOUZAS;AVENIDA SANTA RITA E CASSIA;SN;12;39791268;39794145;ESCOLAINFANTIL@MONTEIROLOBATO.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;EUGENIO DE MELO NEI;645;SAO JOSE DOS CAMPOS;EUGENIO DE MELLO;EUGENIO DE MELO;12247160;RUA;ELOY PORTO ;120;12;39052153;;NEIEUGENIOMELO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;FEBRONIO PEREIRA GOMES EMEI;645;SAO JOSE DOS CAMPOS;PARQUE NOVO HORIZONTE;SAO JOSE DOS CAMPOS;12225700;RUA;CARTEIROS ;50;12;39071439;;EMEIFEBRONIOPEREIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;FERNANDO TAO DE AZEVEDO INSTITUTO MATERNO INFANTIL;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230130;RUA;BAMBUI ;25;12;39318990;;IMIFERNANDOTAO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;FLAVIO BERLING MACEDO PROF EMEF;645;SAO JOSE DOS CAMPOS;VL MARIA;SAO JOSE DOS CAMPOS;12209250;RUA;R PARANA;111;12;39091070;;EMEFFLAVIOBERLING@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;FLAVIO LENZI IMI;645;SAO JOSE DOS CAMPOS;VILA TATETUBA;SAO JOSE DOS CAMPOS;12220220;PRACA;GAIVOTAS ;535;12;39123027;;IMIFLAVIOLENZI@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;GERALDO DE ALMEIDA PROF EMEF;645;SAO JOSE DOS CAMPOS;CHACARAS POUSADA DO VALE;SAO JOSE DOS CAMPOS;12226763;RUA;RUA CAMOMILA;100;12;39292545;39294566;EMEFGERALDOALMEIDA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HELENA FERREIRA PROFESSORA IMI;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215580;RUA;WALDIR GAIOSO ;SN;;;;IMIHELENAFERREIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HELENA VAZ DE LIMA SOLIVA PROFA INSTITUTO MATERNO INFANTIL;645;SAO JOSE DOS CAMPOS;JARDIM SAO DIMAS;SAO JOSE DOS CAMPOS;12245000;AVENIDA;FRANCISCO JOSE LONGO ENGENHEIRO;526;12;39128383;;IMIHELENASOLIVA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HELIO AUGUSTO DE SOUZA CENTRO EDUC PROFISSSIONAL CEPHAS;645;SAO JOSE DOS CAMPOS;FLORADAS DE SAO JOSE;SAO JOSE DOS CAMPOS;12230084;RUA;RUA TSUNESSABURO MAKIGUTI;399;12;39335022;39341135;DIRCEPHAS@FUNDHAS.ORG.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HELIO AUGUSTO DE SOUZA PROF EMEF;645;SAO JOSE DOS CAMPOS;JARDIM VALPARAIBA;SAO JOSE DOS CAMPOS;12221371;PRACA;PRACA DOS MUSICOS;SN;12;39295996;;EMEFHELIOAUGUSTO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HELIO WALTER BEVILACQUA PROFESSOR EMEF;645;SAO JOSE DOS CAMPOS;JARDIM REPUBLICA;SAO JOSE DOS CAMPOS;12234831;RUA;RUA OSCAR FERREIRA DA SILVA;155;12;39392310;;EMEFHELIOBEVILACQUA@SJC.SP.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;HOMERA DA SILVA BRAGA PROFA EMEF;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236450;RUA;JOAQUIM DE PAULA ;670;12;39379166;39379329;EMEFHOMERA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;IDELENA MENEZES TREFILIO DE CARVALHO PROFA EMEI;645;SAO JOSE DOS CAMPOS;SANTANA;SAO JOSE DOS CAMPOS;12211115;AVENIDA;OLIVO GOMES ;590;12;39215770;;EMEIIDELENAMENEZES@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ILDETE MENDONCA BARBOSA PROFA EMEF;645;SAO JOSE DOS CAMPOS;RESIDENCIAL UNIAO;SAO JOSE DOS CAMPOS;12239024;RUA;MIGUEL JANSEN FILHO DOUTOR;80;12;39661026;39661688;EMEFILDETEMENDONCA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ILGA PUSPLATAIS PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM ISMENIA;SAO JOSE DOS CAMPOS;12220690;RUA;UBERLANDIA ;465;12;39023695;;EMEFILGA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ILZA NASCIMENTO PINTUS PROFESSORA NEI;645;SAO JOSE DOS CAMPOS;CHACARAS REUNIDAS;SAO JOSE DOS CAMPOS;12238360;RUA;MIRACEMA ;SN;12;39343836;;NEICHACARASREUNIDAS@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;INST MATERNAL INF PROFA ELIANA DE OLIVEIRA SANTOS CRUZ;645;SAO JOSE DOS CAMPOS;RESIDENCIAL ARMANDO MOREIRA RIGHI;SAO JOSE DOS CAMPOS;12247806;RUA;CELSO NEGRAO ;150;12;39123793;;PLANEJAMENTOESCOLAR@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;IRACEMA OLIVEIRA DE MELLO EMEI;645;SAO JOSE DOS CAMPOS;JARDIM SANTO ONOFRE;SAO JOSE DOS CAMPOS;12228077;RUA;ROBERTO APARECIDO CRUZ ;60;12;39442328;;EMEIIRACEMAOLIVEIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JACYRA VIEIRA BARACHO PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM VENEZA;SAO JOSE DOS CAMPOS;12237060;RUA;FLORENCA ;100;12;39330650;39345407;EMEFJACYRABARACHO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JANE PALUMBO PROFA EMEI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL DOM PEDRO I;SAO JOSE DOS CAMPOS;12232610;RUA;RUA EDILSON SABINO DOS SANTOS;SN;12;39668339;;EMEIJANEPALUMBO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JARDIM MORUMBI NUCLEO DE EDUCACAO INFANTIL;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236740;AVENIDA;ELISIO GALDINO SOBRINHO ;40;12;39310002;;EMEIJARDIMMORUMBI@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JESUS DE NAZARE IMI;645;SAO JOSE DOS CAMPOS;VILA SAO BENTO;SAO JOSE DOS CAMPOS;12231580;RUA;APA ;100;12;39222319;;IMIJESUSDENAZARE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOANA MATTAR DE OLIVEIRA IMI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO;SAO JOSE DOS CAMPOS;12237000;RUA;JOSE COBRA ;95;12;39319818;;IMIJOANAMATTAR@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOAO LOPES SIMOES IMI;645;SAO JOSE DOS CAMPOS;JARDIM ORIENTE;SAO JOSE DOS CAMPOS;12236190;PRACA;ALEXANDRE MAGNO ;166;12;39310194;;IMIJOAOLOPES@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOAO MARCONDES GUIMARAES PADRE EMEI;645;SAO JOSE DOS CAMPOS;BOSQUE DOS EUCALIPTOS;SAO JOSE DOS CAMPOS;12233420;RUA;TATUI ;27;12;39165257;;EMEIPADREJOAO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE ANTERO CURSINO DOS SANTOS PROF NEI;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230810;RUA;ITAPOA ;101;12;39313718;;EMEIJOSEANTERO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE MADUREIRA LEBRAO EMEI;645;SAO JOSE DOS CAMPOS;JARDIM MARIANA II;SAO JOSE DOS CAMPOS;12226880;RUA;MAURICIO MALDONADO JUNIOR ;94;12;39129608;39292322;EMEIJOSEMADUREIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE PAULINO BICUDO NEI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL VALE DOS PINHEIROS;SAO JOSE DOS CAMPOS;12242370;RUA;JAVAES ;SN;12;39415895;;NEIJOSEPAULINOBICUDO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE PURCINI EMEI;645;SAO JOSE DOS CAMPOS;JARDIM SANTA INES II;SAO JOSE DOS CAMPOS;12248515;RUA;CIRURGIOES DENTISTAS ;480;12;39125780;39297402;EMEIJOSEPURCINI@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE RUBENS FRANCO BONAFE PADRE EMEI;645;SAO JOSE DOS CAMPOS;JARDIM SANTA MATILDE;SAO JOSE DOS CAMPOS;12213580;RUA;SALETE NOSSA SENHORA;34;12;39219987;;EMEIPADREBONAFE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;JOSE SODERO BITENCOURT PROF EMEI;645;SAO JOSE DOS CAMPOS;RESIDENCIAL BOSQUE DOS IPES;SAO JOSE DOS CAMPOS;12236874;RUA;JOSE ANTONIO MONTEIRO SANTOS ;15;12;39394096;;EMEIJOSESODERO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LADIEL BENEDITO DE CARVALHO PROF EMEI;645;SAO JOSE DOS CAMPOS;PARQUE INTERLAGOS;SAO JOSE DOS CAMPOS;12229829;RUA;RUA ANA BENEDICTA DIAS PEDROSA;75;12;39441828;;EMEILADIELBENEDITO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LEONOR PEREIRA NUNES GALVAO PROFA EMEF;645;SAO JOSE DOS CAMPOS;VILA INDUSTRIAL;SAO JOSE DOS CAMPOS;12220300;RUA;JOSE MOLINA ;150;12;39121750;39291714;EMEFLEONORGALVAO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LOURDES DE OLIVEIRA MENDES PROFA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM PARARANGABA;SAO JOSE DOS CAMPOS;12224720;RUA;RIO UNA ;488;12;39028879;;EMEILOURDESDEOLIVEIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LUCIA MARIA DO AMARAL PROFESSORA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM SANTA LUZIA;SAO JOSE DOS CAMPOS;12228858;RUA;JOSE BENEDITO DE ALMEIDA PENA ;140;12;39129819;;AA.PUPIO@UOL.COM.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LUCIA PEREIRA RODRIGUES PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM SANTA FE;SAO JOSE DOS CAMPOS;12228110;RUA;PRACA IV CENTENARIO;401;12;39441769;39441850;EMEFLUCIAPEREIRA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LUIZ LEITE PROF EMEF;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL GALO BRANCO;SAO JOSE DOS CAMPOS;12247540;RUA;BENEDITO ANDRADE ;5;12;39051139;39052510;EMEFLUIZLEITE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LUIZ SUNDFELD PROF EMEI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL GALO BRANCO;SAO JOSE DOS CAMPOS;12247530;RUA;FELICIO JABBUR NASSER ;1035;12;39052263;;EMEILUIZSUNDFELD@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;LUZIA LEVINA APARECIDA BORGES PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM CRUZEIRO DO SUL;SAO JOSE DOS CAMPOS;12234813;RUA;HONORATO GONCALVES TEIXEIRA ;205;12;39661187;39661569;EMEFLUZIALEVINA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA ALICE PASQUARELLI PROFA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM COPACABANA;SAO JOSE DOS CAMPOS;12221221;PRACA;PRACA JOAQUIM FIGUEIRA DE ANDRADE;60;12;39291854;;EMEIMARIAALICE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA AMELIA WAKAMATSU PROFA EMEF;645;SAO JOSE DOS CAMPOS;CAMPOS DE SAO JOSE;SAO JOSE DOS CAMPOS;12226690;RUA;VIRGILIO FERNANDES DE OLIVEIRA ;31;12;39124775;39297535;EMEFMARIAAMELIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA ANTONIETA FERREIRA PAYAR PROFA EMEF;645;SAO JOSE DOS CAMPOS;PINHERINHO DOS PALMARES;SAO JOSE DOS CAMPOS;12228256;CONJUNTO HABITACIONAL;TRÊS;S/N;12;39122739;;GLAUCIA.ARAUJO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA APARECIDA SANTOS RONCONI PROFA EMEF;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215390;RUA;ANA GONCALVES DA CUNHA ;400;12;39114549;;EMEFMARIARONCONI@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA AUGUSTA MOREIRA DA COSTA PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM UIRA;SAO JOSE DOS CAMPOS;12227621;RUA;RUA DOS CANINDES;SN;12;39118948;;EMEFMARIAAUGUSTA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA DA GLORIA MARIANO SANTOS PROFA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM TELESPARK;SAO JOSE DOS CAMPOS;12212810;PRACA;CESAR TRABALLI ;80;12;39226002;;EMEIMARIADAGLORIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA DE LOURDES CONSTANTINO PROFA IMI;645;SAO JOSE DOS CAMPOS;PARQUE NOVO HORIZONTE;SAO JOSE DOS CAMPOS;12225710;RUA;ELETRICISTAS ;330;12;39072113;39075994;IMIMARIADELOURDES@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA DE MELO PROFA EMEF;645;SAO JOSE DOS CAMPOS;PARQUE INDUSTRIAL;SAO JOSE DOS CAMPOS;12235741;RUA;INGA ;40;12;39313593;39348030;EMEFMARIAMELO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA EZEQUIEL SANT'ANNA PROFA NEI;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230320;RUA;CASTOR ;180;12;39374618;;EMEIMARIAEZEQUIEL@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM COLONIAL;SAO JOSE DOS CAMPOS;12234440;PRACA;BERTOLINO CLAUDIO ;56;12;39662351;;EMEIMARIAJOSEGUIDO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA NAZARETH DE MOURA VERONESE PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM DA GRANJA;SAO JOSE DOS CAMPOS;12227510;PRACA;COLUMBA ;45;12;39213424;39424341;EMEFMARIAVERONESE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIA OFELIA VENEZIANI PEDROSA PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM LIMOEIRO;SAO JOSE DOS CAMPOS;12241340;RUA;SERGIO GONZAGA AZEVEDO ;130;12;39330408;39349019;EMEFMARIAOFELIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;MARIANA TEIXEIRA CORNELIO PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM TELESPARK;SAO JOSE DOS CAMPOS;12212700;RUA;BENEDITO PEREIRA LIMA ;200;12;39133600;39133601;EMEFMARIANATEIXEIRA@SJC.SP.GOV.BR
