Nome_dependencia_Administrativa;Diretoria_de_ensino;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email
ESTADUAL - SE;SAO JOSE DOS CAMPOS;DIACONO HAMILTON BONTORIM DE SOUZA PROFESSOR;645;SAO JOSE DOS CAMPOS;ALTOS DA VILA PAIVA;SAO JOSE DOS CAMPOS;12213078;RUA;RIO DO PEIXE ;351;12;39072004;39318415;E497095A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;DINORA PEREIRA RAMOS BRITO PROFESSORA;645;SAO JOSE DOS CAMPOS;PUTIM;SAO JOSE DOS CAMPOS;12228000;AVENIDA;JOAO RODOLFO CASTELLI ;157;12;39441135;39441144;E901532A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;DIRCE ELIAS PROFESSORA;645;SAO JOSE DOS CAMPOS; FREITAS;SAO JOSE DOS CAMPOS;12214422;ESTRADA MUNICIPAL;ESTRADA MUNICIPAL JOSE BENEDITO DE OLIVEIRA;1991;12;39481048;39481303;E905124A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;DOMINGOS DE MACEDO CUSTODIO PROFESSOR;645;SAO JOSE DOS CAMPOS;VILA SAO BENEDITO;SAO JOSE DOS CAMPOS;12227060;PRACA;BENEDITO UGOLINO SILVA GUERRA ;311;12;39222004;39222419;E042336A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;DORIVAL MONTEIRO DE OLIVEIRA PROFESSOR;645;SAO JOSE DOS CAMPOS;PARQUE NOVO HORIZONTE;SAO JOSE DOS CAMPOS;12225660;RUA;PEDREIROS ;367;12;39071570;39072009;E042304A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM SAO JUDAS TADEU;SAO JOSE DOS CAMPOS;12228450;RUA;RUA SAO JANUARIO;81;12;39441675;39445190;E925925A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;EDEWALDO FREITAS GAIA SANT ANA PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM AMERICA;SAO JOSE DOS CAMPOS;12235420;RUA;ROSARIO ;540;12;39314667;39317118;E013493A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;EDGAR MELLO MATTOS DE CASTRO ENGENHEIRO;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;SAO JOSE DOS CAMPOS;12239148;ESTRADA;IMPERADOR ;701;12;39661272;39661799;E917254A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ELIDIA TEDESCO DE OLIVEIRA PROFESSORA;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL GALO BRANCO;SAO JOSE DOS CAMPOS;12247430;RUA;JUVENAL SANTOS ;4;12;39050221;39052196;E920459A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ELMANO FERREIRA VELOSO;645;SAO JOSE DOS CAMPOS;CHACARAS REUNIDAS;SAO JOSE DOS CAMPOS;12238350;RUA;MONTE AZUL ;795;12;39314646;;MARADIRET@HOTMAIL.COM
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ESTEVAM FERRI PROFESSOR;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215110;RUA;CANTIDIO MIRAGAIA ;100;12;39411766;39419795;E023462A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;EUCLIDES BUENO MIRAGAIA;645;SAO JOSE DOS CAMPOS;VILA NAIR;SAO JOSE DOS CAMPOS;12231590;RODOVIA;RODOVIA DOS TAMOIOS;470;12;39210167;;E013602A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;EUNICE CORDEIRO DOS SANTOS RODRIGUES PROFESSORA;645;SAO JOSE DOS CAMPOS;VILA SAO GERALDO;SAO JOSE DOS CAMPOS;12213270;RUA;RUA MAJOR MANOEL FERNANDES NETTO;370;12;39214606;39234955;E013511A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;FELICIO SAVASTANO PROFESSOR;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215030;RUA;RUA CAPITAO RAUL FAGUNDES;341;12;39227034;39234700;E013547A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;FRANCISCO JOAO LEME;645;SAO JOSE DOS CAMPOS;ALTO DA PONTE;SAO JOSE DOS CAMPOS;12212380;RUA;CONSTITUINTE ;37;12;39216015;39220615;E013638A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;FRANCISCO LOPES DE AZEVEDO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230250;RUA;ANTARES ;330;12;39311723;;E039640A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;FRANCISCO PEREIRA DA SILVA PROFESSOR;645;SAO JOSE DOS CAMPOS;VILA TATETUBA;SAO JOSE DOS CAMPOS;12220190;PRACA;UIRAPURU ;131;12;39122418;39295572;E013936A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;GERALDINA COELHO MONTEIRO PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM NOVA MICHIGAN;SAO JOSE DOS CAMPOS;12225440;RUA;MARIA HELENA MOREIRA DE QUEIROZ PROFESSORA;186;12;39071606;39072001;E901581A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;HENRIQUETA COSTA PORTO PROFESSORA;645;SAO JOSE DOS CAMPOS;PARQUE INDUSTRIAL;SAO JOSE DOS CAMPOS;12235550;RUA;SANTAREM ;970;12;39312300;39318553;E047946A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ILZA IRMA MOELLER COPPIO PROFESSORA;645;SAO JOSE DOS CAMPOS;VILA SINHA;SAO JOSE DOS CAMPOS;12212659;RUA;JAGUARI ;362;12;39213121;39217820;E013523A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;IRACEMA RIBEIRO DE FREITAS;645;SAO JOSE DOS CAMPOS;VILA IRACEMA;SAO JOSE DOS CAMPOS;12228151;PRACA;MURIAE ;7;12;39441593;;E047961A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JARDIM REPUBLICA;645;SAO JOSE DOS CAMPOS;JARDIM REPUBLICA;SAO JOSE DOS CAMPOS;12234831;RUA;RUA OSCAR FERREIRA DA SILVA;155;12;39441447;;E495529A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JENI DAVI BACHA PROFESSORA;645;SAO JOSE DOS CAMPOS;BUQUIRINHA;SAO JOSE DOS CAMPOS;12213831;RUA;RUA ANTONIO DE OLIVEIRA PINTO;83;12;39481033;39481188;E037849A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOAO CURSINO;645;SAO JOSE DOS CAMPOS;JARDIM SAO DIMAS;SAO JOSE DOS CAMPOS;12245001;AVENIDA;AVENIDA ENGENHEIRO FRANCISCO JOSE LONGO;782;12;39214550;39215804;E013948A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOAO FERREIRA DOS SANTOS PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM DAS CEREJEIRAS;SAO JOSE DOS CAMPOS;12225500;RUA;QUINZE DE OUTUBRO ;80;12;39071033;39072007;E916304A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOAO MOROTTI FILHO;645;SAO JOSE DOS CAMPOS;BOM RETIRO;SAO JOSE DOS CAMPOS;12226280;RUA;IRENE TOLEDO DE SOUZA GOMES ;SN;12;39070478;39071388;E915026A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOAQUIM ANDRADE MEIRELLES PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230680;RUA;MARANDUBA ;SN;12;39330993;;E035373A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOAQUIM DE MOURA CANDELARIA PROFESSOR;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236670;RUA;JOSEFA ALBUQUERQUE DOS SANTOS ;831;12;39311908;39316128;E911392A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JORGE BARBOSA MOREIRA PROFESSOR;645;SAO JOSE DOS CAMPOS;VILA CANDIDA;SAO JOSE DOS CAMPOS;12213531;AVENIDA;MARIA CANDIDA DELGADO ;10;12;39234689;;E013559A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOSE ANTONIO COUTINHO CONDINO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM SANTA HERMINIA;SAO JOSE DOS CAMPOS;12226838;RUA;A ;1477;12;39071806;;E912712A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOSE FREDERICO MARQUES PROFESSOR;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;SAO JOSE DOS CAMPOS;12239170;RUA;NELSON JOSE DE CARVALHO FERREIRA ;91;12;39661221;39661664;E919755A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOSE MARIOTTO FERREIRA MAJOR AVIADOR;645;SAO JOSE DOS CAMPOS;VILA DAS ACACIAS;SAO JOSE DOS CAMPOS;12228530;CAMPUS DO CTA;PRACA MARECHAL EDUARDO GOMES;50;12;39210342;39223637;E013869A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JOSE VIEIRA MACEDO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230750;RUA;IPIAU ;162;12;39315911;;E013560A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JULIA BERNARDES RODRIGUES PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM SAO JUDAS TADEU;SAO JOSE DOS CAMPOS;12228260;AVENIDA;CRISTOVAO SAO;843;12;39441424;39441815;E901568A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;JUVENAL MACHADO DE ARAUJO PROFESSOR;645;SAO JOSE DOS CAMPOS;VILA TESOURO;SAO JOSE DOS CAMPOS;12221540;RUA;VICENTE CELESTINO ;150;12;39296447;;E035397A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;LOURDES MARIA DE CAMARGO PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM IMPERIAL;SAO JOSE DOS CAMPOS;12234010;AVENIDA;AVENIDA DOM PEDRO I;341;12;39661117;39661344;E037837A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MALBA THEREZA FERRAZ CAMPANER PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM ORIENTE;SAO JOSE DOS CAMPOS;12236160;PRACA;MIKADO ;142;12;39316322;39318415;E042316A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARCIA HELENA BARBOSA LINO PROFESSORA;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;SAO JOSE DOS CAMPOS;12239670;RUA;JOSE RODRIGUES SALGADO ;150;12;39661699;;E922018A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARIA APARECIDA VERISSIMO MADUREIRA RAMOS PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM DAS INDUSTRIAS;SAO JOSE DOS CAMPOS;12241260;RUA;CARVALHOS ;30;12;39318798;;E905100A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARIA DOLORES VERISSIMO MADUREIRA PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM ANHEMBI;SAO JOSE DOS CAMPOS;12235240;RUA;SERRA DO RONCADOR ;310;12;39312843;39314645;E035361A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARIA FERREIRA SONNEWEND PROFESSORA;466;MONTEIRO LOBATO;CENTRO;MONTEIRO LOBATO;12250000;PRACA;RUA MARIA LUIZA VALVANO AURICCHIO;30;12;39791157;39791516;E013328A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARIA GOMIDE SANTOS DE SOUZA PROFESSORA;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236680;RUA;ZELIA ALBUQUERQUE DOS SANTOS ;452;12;39310377;39316089;E919731A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARIA LUIZA DE GUIMARAES MEDEIROS PROFESSORA;645;SAO JOSE DOS CAMPOS;SANTANA;SAO JOSE DOS CAMPOS;12212200;RUA;RUA SAO LUIZ GONZAGA;89;12;39221606;39226016;E013754A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MARILDA FERREIRA DE BRITO BARROS PEREIRA;645;SAO JOSE DOS CAMPOS;VALE DOS PINHEIROS;SAO JOSE DOS CAMPOS;12242330;RUA;RUA MANOEL SALDANHA;401;12;39222543;;E045470A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MAURICIO ANISSE CURY DOUTOR;645;SAO JOSE DOS CAMPOS;JARDIM SAO DIMAS;SAO JOSE DOS CAMPOS;12245001;AVENIDA;AVENIDA ENGENHEIRO FRANCISCO JOSE LONGO;832;12;39212777;39416381;E013791A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MIGUEL NAKED MAJOR;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236580;AVENIDA;BENEDITO BENTO ;195;12;39312922;;E045469A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;MOABE CURY;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL ELMANO VELOSO;SAO JOSE DOS CAMPOS;12234701;RUA;AVELINO ALVES DA SILVA ;101;12;39661439;39661988;E047934A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;NAJLA JAMILE SANTOS MACHADO DE ARAUJO PROFESSORA;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL DOM PEDRO I;SAO JOSE DOS CAMPOS;12232842;RUA;OSVALDO ORLANDO DA COSTA ;352;12;39661770;;E921282A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;NELSON DO NASCIMENTO MONTEIRO PROFESSOR;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO;SAO JOSE DOS CAMPOS;12237750;PARQUE INDUSTRIAL;HERMENEGILDO SCARENSI ;91;12;39315844;;E042328A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;NELSON FERREIRA DA SILVA PROFESSOR;645;SAO JOSE DOS CAMPOS;BOSQUE DOS EUCALIPTOS;SAO JOSE DOS CAMPOS;12233610;RUA;WLADIMIR HERZOG ;400;12;39361140;39361900;E901556A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;NILCE CONCEICAO DE LIMA PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM SAO LEOPOLDO;SAO JOSE DOS CAMPOS;12228190;AVENIDA;RUA NATALIO ANGELO STABELI;84;12;39441582;;E922857A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;OLIMPIO CATAO;645;SAO JOSE DOS CAMPOS;CENTRO;SAO JOSE DOS CAMPOS;12210090;PRACA;PRACA AFONSO PENA;SN;12;39220729;;E013626A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;PEDRO MASCARENHAS DOUTOR;645;SAO JOSE DOS CAMPOS;EUGENIO DE MELLO;EUGENIO DE MELO;12247000;RUA;AMBROSIO MOLINA ;306;12;39051361;39051862;E013596A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;PEDRO MAZZA PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM DA GRANJA;SAO JOSE DOS CAMPOS;12227200;RUA;ODETE MIMESSI ;160;12;39227990;39234623;E013584A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;RONDON MARECHAL;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215170;PRACA;FRANCISCO ESCOBAR ;165;12;39218626;;E013912A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;RUI RODRIGUES DORIA DOUTOR;645;SAO JOSE DOS CAMPOS;VILA ALEXANDRINA;SAO JOSE DOS CAMPOS;12211290;RUA;OLIVO GOMES ;329;12;39220438;;E013924A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;RUTH COUTINHO SOBREIRO PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM SANTA INES II;SAO JOSE DOS CAMPOS;12248511;RUA;JOSE ALVES DE PAIVA ;530;12;39126477;39295433;E902548A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;SANT ANA DO PARAIBA;645;SAO JOSE DOS CAMPOS;SANTANA;SAO JOSE DOS CAMPOS;12211740;RUA;GUARANI ;130;12;39216870;39217261;E013651A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;SONIA MARIA ALEXANDRE PEREIRA PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM TORRAO DE OURO;SAO JOSE DOS CAMPOS;12229010;RUA;WALDEMAR TEIXEIRA ;1000;12;39332100;39445447;E351064A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;SUELY ANTUNES DE MELLO PROFESSORA;645;SAO JOSE DOS CAMPOS;CENTRO;SAO JOSE DOS CAMPOS;12210250;RUA;SIQUEIRA CAMPOS ;845;12;39213944;39229848;E013894A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;UBIRAJARA BERNA DE CHIARA UBIRAJARA BRASIL;645;SAO JOSE DOS CAMPOS;JARDIM DAS FLORES;EUGENIO DE MELO;12247650;RUA;FLOR DE LIS ;113;12;39051011;39051511;E901573P@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;VALMAR LOURENCO SANTIAGO PROFESSOR;645;SAO JOSE DOS CAMPOS;CAMPOS DE SAO JOSE;SAO JOSE DOS CAMPOS;12226553;AVENIDA;RUA DANTAS LUIS DO PRADO ;345;12;39022440;39022460;E020874A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;WILMA RAGAZZI BOCCARDO PROFESSORA;645;SAO JOSE DOS CAMPOS;PARQUE INDUSTRIAL;SAO JOSE DOS CAMPOS;12235681;RUA;BACABAL ;3550;12;39314670;39319553;E013778A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;XENOFONTE STRABAO DE CASTRO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM SANTA INES I;SAO JOSE DOS CAMPOS;12248490;RUA;ABELARDO ALVES DE PAIVA ;53;12;39120580;39293031;E917266A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;YOSHIYA TAKAOKA;645;SAO JOSE DOS CAMPOS;VILA PAIVA;SAO JOSE DOS CAMPOS;12213350;RUA;JOSE BONIFACIO DE ARANTES ;272;12;39223330;39234743;E013648A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ZILAH FERREIRA VIAGI PASSARELLI DE CAMPOS PROFESSORA;645;SAO JOSE DOS CAMPOS;BOSQUE DOS EUCALIPTOS;SAO JOSE DOS CAMPOS;12233490;RUA;VOTUPORANGA ;326;12;39361080;997686792;E919724A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ZILDA ALTIMIRA SOCI PROFESSORA;645;SAO JOSE DOS CAMPOS;BOA VISTA;SAO JOSE DOS CAMPOS;12213690;LARGO;LARGO DA BOA VISTA;480;12;39225090;39234690;E013500A@EDUCACAO.SP.GOV.BR
